A,B,C,D,x11,y11,x10,y10,x00,y00,x01,y01
46.96639641,49.21874898,49.2242017,49.31254602,24.87015769,23.62242651,24.4504287,-23.34209434,-24.76832028,-23.34209311,-24.39065409,25.88065977
49.38531887,49.13774993,49.35594747,49.37287213,24.5597161,25.03082174,24.89336396,-24.35337005,-24.24438597,-24.35336988,-24.81314597,24.99930038
49.36503049,49.38976666,49.39261358,46.30643018,22.79445922,24.91799331,24.50783565,-24.41729403,-24.88193101,-24.41729264,-23.5119551,24.95631815
49.29970736,49.35694018,49.36240061,43.17337147,20.98314933,24.77213047,24.00173377,-24.43507727,-25.35520641,-24.43507451,-22.19018883,24.82575432
49.37893664,48.11039163,49.31276211,47.87681178,23.47063186,24.69261787,24.11604725,-24.68210059,-23.99434439,-24.68210038,-24.40613758,24.62894233
49.23438499,49.17722701,42.76195952,49.22353048,22.62213351,25.31694606,25.77192324,-23.81658109,-23.40530377,-23.81658074,-26.17547304,18.85555705
42.52820625,49.29809769,49.31364076,49.26271944,27.36140639,20.74723681,24.46508739,-21.68223011,-24.83301029,-21.68222565,-21.43433424,27.51415803
47.36599767,49.31101569,49.37932718,49.29180454,25.37542591,23.02974367,23.92784125,-24.31412851,-25.38317444,-24.31412811,-23.87528102,25.04217048
42.67376521,49.16890725,49.32638796,49.13789658,27.46749748,20.53605995,24.49845047,-22.03429355,-24.67045678,-22.03428388,-21.22035,27.17129825
49.27665035,49.32115975,49.23249936,45.45612447,22.95101277,26.14734557,23.82296095,-23.12158963,-25.49376147,-22.46000879,-22.50197313,26.68150315
49.2746358,44.52861007,49.23928734,49.31746381,25.89911963,24.38252193,23.68794235,-24.84247607,-20.84066772,-24.84245787,-23.41831548,24.32931401
42.96748705,49.13020378,49.11972379,49.06685568,24.30303483,18.76857704,22.06290014,-24.14047492,-27.06730363,-24.1403315,-24.37849658,24.90574461
49.27977421,49.2865693,45.89003596,49.25959998,22.82635054,25.76833554,25.72776199,-23.42595231,-23.55880731,-23.42592799,-26.31665769,22.38116384
49.38528057,49.36566292,44.79353926,49.37061298,23.86024252,25.78252749,25.45190181,-23.57709728,-23.91376111,-23.57709614,-25.29677956,21.1950874
46.684774,49.33549596,49.39613216,49.37805865,25.72938017,23.36395659,24.1879352,-23.29536263,-25.14756076,-23.29536225,-23.57416024,26.07570501
44.82348294,49.32691982,49.2654585,49.33385993,26.31773491,22.3638219,24.05108186,-22.40231381,-25.27583797,-22.40231373,-22.81611245,26.80170188
49.23639597,44.32007104,49.23765599,49.20942179,25.50877621,23.49202159,23.37042047,-25.69791766,-20.94965057,-25.69791592,-23.70063693,23.462829
49.23971944,44.90668279,49.09994119,49.17729028,25.42009695,23.04006998,23.02779457,-26.14150034,-21.87888822,-26.14148018,-23.75705286,22.9225262
49.38012147,49.34325987,49.35129273,44.46304889,21.26031097,26.37582518,23.84344174,-22.93668675,-25.49981812,-22.93668574,-23.20273549,26.36111853
46.05597283,49.24761284,41.44618584,49.3123736,21.82819927,23.25403009,23.92401636,-22.75423203,-25.32359648,-22.75422685,-27.26843044,18.64630385
44.99933821,49.06367979,49.16088103,48.76530466,23.85667256,20.10508805,22.5773598,-24.87606131,-26.48632,-24.87582942,-24.73184123,24.25373427
49.3079998,49.17982582,45.73666348,49.1862511,22.81618901,25.82927196,25.50883556,-23.40515196,-23.67099027,-23.40513156,-26.24033594,22.2593059
49.39103365,49.37569724,44.59585126,49.2606921,23.58597626,25.66724762,25.36774865,-23.69163701,-24.00794859,-23.69163569,-25.44166069,20.88116341
46.86858315,49.40306558,49.40101055,49.38251952,25.82768822,23.14240915,24.04828896,-23.69238373,-25.35477661,-23.69238313,-23.48992766,25.67341659
49.31563955,44.68429213,49.31238472,49.32502314,25.85146595,23.69738787,23.41414033,-25.55798491,-21.27015181,-25.5579812,-23.47355658,23.70515201
49.27341067,49.32529128,49.28447182,48.34951155,23.84115091,24.9940136,23.70345527,-24.27920468,-25.62183601,-24.2791963,-24.50836062,24.99269563
49.30011869,45.17274412,49.33011103,49.39551349,25.2498297,23.39180211,23.0214119,-25.85792739,-22.15133222,-25.85792479,-24.14566755,23.4318559
49.34253578,45.92780889,49.30041747,49.39323422,25.34979019,23.13657807,23.72271701,-26.17912399,-22.20509188,-26.1791225,-24.04341916,23.08700902
49.39790828,49.37304994,44.7473469,49.34603996,21.86120284,24.42322982,24.27845212,-24.91549988,-25.09459782,-24.9154979,-27.26581733,19.77914227
45.75196498,49.13926146,49.17947812,49.00510445,24.37148605,21.23662337,23.35126943,-24.50396537,-25.78799203,-24.50357076,-24.5139397,24.65940168
49.31970837,49.26016536,46.47493366,49.22485351,23.46234097,26.66781538,25.66022351,-22.60289546,-23.59994185,-22.60284792,-25.68038412,23.82549707
49.68222475,49.37043424,42.82053401,49.34428322,22.49652249,25.64047258,26.08514674,-23.91197672,-23.28528751,-23.91197399,-26.37093545,18.79723941
47.72072595,49.39406965,47.01147819,49.37445781,24.91489272,24.21698989,24.80552412,-23.50361074,-24.58854553,-23.50361059,-24.45446982,23.50767641
49.34418195,49.3611018,49.34264714,48.41288402,23.96156262,24.83444767,23.53016184,-24.50784844,-25.83093997,-24.50784745,-24.4513177,24.81550877
49.35571029,49.27703352,49.34073136,48.33827166,25.24976315,25.29257773,24.7574268,-24.06067691,-24.51960672,-24.06066916,-23.08849706,25.25930343
49.34589371,49.39983442,49.32173737,47.37391017,23.41260949,25.61248536,24.50537896,-23.72130713,-24.89445545,-23.72130513,-23.96129608,25.59160383
49.40021414,49.30771231,47.23812519,49.32260672,23.06960033,24.48014019,24.20793628,-24.90695679,-25.09977602,-24.90695437,-26.20560296,22.31822554
44.66248777,49.31511613,41.38508112,49.31044768,22.79014402,21.53719758,24.31124898,-23.09937995,-25.00386715,-23.09937463,-26.41139849,18.26176407
48.31981332,49.34370011,49.44168399,49.24638009,25.689057,26.93157539,25.69907873,-21.38823689,-23.64462138,-21.38816601,-23.54454356,28.0534167
49.37355116,49.36589646,45.51561558,49.34109128,23.39908571,26.53907118,25.78866297,-22.77662079,-23.57723349,-22.77660929,-25.79126285,22.68512556
49.39668207,49.43256812,45.74031602,49.37097961,24.38423883,25.80199773,24.78535119,-23.59305575,-24.64721693,-23.5930508,-24.8512487,22.14681016
49.40000234,49.38591548,44.1959014,49.44239981,24.26064407,25.19674826,25.05455996,-24.1968741,-24.33135552,-24.19687307,-24.90738993,19.99527426
45.29830424,49.3834376,49.38613003,49.39068553,25.93935202,22.50597277,23.92931628,-22.74771352,-25.45412132,-22.74771316,-23.28214098,26.59063238
49.38547266,45.02406915,49.3432959,49.39909312,25.69407805,24.37243448,23.3044329,-24.95518968,-21.71963626,-24.95518794,-23.7050091,24.34815013
49.34391166,47.06003733,49.31335815,49.399995,25.69301527,24.63091744,24.2335142,-24.69140483,-22.82652313,-24.69140444,-23.70697687,24.61409316
49.31381049,49.20645199,49.28279177,49.39825122,25.78627676,24.87131837,25.52281363,-24.44178833,-23.68363836,-24.44178639,-23.61196512,24.84095326
49.28327419,49.42302996,49.28886955,49.39995082,24.94274421,24.91836955,25.10748104,-24.36462931,-24.31554891,-24.36462839,-24.45720629,24.9240376
49.43338783,49.3020783,49.20820978,49.28820828,24.25963073,24.50175694,24.51902139,-24.93095034,-24.78305691,-24.93094957,-25.02806349,24.27665026
49.40004438,49.29280039,48.85208493,49.30336138,24.11104939,23.78030428,24.60999862,-25.61722029,-24.68280177,-25.61721599,-25.18926574,23.23224354
49.32684252,49.36940934,48.69003328,49.35784671,25.4243559,28.53202903,26.2470698,-20.78795206,-23.12233955,-20.787928,-23.92938515,27.89541636
49.42583207,49.36026854,44.75844838,49.37250197,23.18862739,26.86494851,25.9036854,-22.48625548,-23.45658314,-22.48625083,-25.96318268,22.2019541
42.93293467,49.36034042,49.38869078,49.37007277,26.37271376,20.35596046,23.54773693,-22.48393199,-25.81260348,-22.48392895,-22.57518947,26.79854184
44.55007477,49.35922363,50.16181078,49.33066224,25.79157535,21.75306762,23.67158769,-22.74653703,-25.68763594,-22.74653194,-23.22003201,27.3545478
49.29832287,49.28529898,49.32242832,46.91112327,23.48332139,24.67990458,23.77998186,-24.61752568,-25.50531711,-24.61752553,-23.42779812,24.66112959
49.3951033,49.29743753,46.11894401,49.27354376,23.3570924,24.76779045,25.64816976,-24.57415108,-23.64926777,-24.57414859,-25.80759147,21.49426397
49.39597718,49.28074084,47.8737095,49.27652584,24.08402148,24.47295369,24.81923042,-24.91755176,-24.46151042,-24.91754975,-25.16899313,22.95093184
49.40015511,49.28373175,47.13123351,49.31115223,23.64703769,23.84250737,24.70902207,-25.54623136,-24.57470968,-25.54622858,-25.61188795,21.57359139
49.40039903,49.30878727,46.87533471,49.3327687,23.57915348,24.4545774,24.67597486,-24.93364395,-24.63281241,-24.93364313,-25.68896528,21.92979192
49.34036257,49.40003629,49.33121745,47.5946949,23.59504653,25.10002436,24.56036025,-24.23089443,-24.83967604,-24.23089393,-23.99964788,25.09317087
49.33567485,49.39877707,49.3382355,47.95471109,24.42895385,24.99488746,25.23372864,-24.33422312,-24.16504843,-24.33422169,-23.52575698,24.99987188
47.47830928,49.29852363,49.29535219,49.36202076,23.60206412,19.2325897,23.22260078,-28.24420315,-26.07592284,-28.24415428,-25.72649009,21.0499594
44.00048311,49.29930371,49.30529349,49.33948704,25.45587902,19.34448602,23.51436635,-24.61314179,-25.78493737,-24.61310918,-23.59820993,24.64366892
46.27943353,67.55083375,49.67198919,2.635042779,0.7323131552,32.83838091,33.01543652,-0.3216238256,-34.53539723,-0.3215763442,0.008385839141,35.37203039
49.27495012,42.81621757,49.27958297,49.34570986,25.95940224,24.6083339,22.55395329,-24.5487981,-20.26226429,-24.54878766,-23.3863021,24.63167274
49.26516133,47.27494264,49.28913691,49.37016557,24.95697605,24.7345851,24.27304451,-24.52582861,-23.00189813,-24.52582376,-24.41318879,24.74310434
48.8898963,49.27433356,49.39942166,49.2859266,24.72611829,24.49316766,24.52722599,-24.39632407,-24.74710756,-24.39631809,-24.557174,25.00273843
49.27359043,49.29227194,49.40006481,49.34243275,24.75973919,24.59070449,24.35134495,-24.68119347,-24.94092699,-24.68118729,-24.58253045,24.71757743
52.99538083,49.34339069,49.2359446,49.32156765,22.93503342,25.69192292,24.51515792,-27.27989597,-24.82823276,-27.27989347,-26.24329429,21.9357122
49.42709385,49.31005491,44.80829143,49.34021892,22.38803655,24.29917551,24.72003175,-25.07287534,-24.59002316,-25.07287186,-26.7358623,19.68400867
49.35391424,49.39268386,49.33408272,46.21938934,22.70860051,25.51472388,24.02577395,-23.82161065,-25.36690991,-23.82160968,-23.51077388,25.47754322
49.30329083,47.8690093,49.24542296,43.95065258,20.37882049,24.49811816,22.77219923,-24.74704633,-25.09681007,-24.74704483,-23.57182589,24.47476035
49.07679488,48.89586603,49.14063634,46.28549287,22.42287669,25.65651426,23.89521378,-23.3981901,-25.00065225,-23.39817545,-23.86255898,25.72928004
49.29078715,44.30029384,49.33617788,49.09544319,26.31427859,25.34100678,23.14362036,-23.84769745,-21.15667348,-23.84769501,-22.78101616,25.46173571
41.85984633,49.23882405,49.72928219,49.31734973,25.6422418,17.88992232,23.00698648,-23.8868914,-26.23183757,-23.88684713,-23.04628406,25.74030025
49.2573202,41.33298297,49.24858272,48.82771814,25.24589425,24.78208459,20.71277666,-24.26620221,-20.62020631,-24.26615349,-23.58169721,24.89330614
49.24132648,41.38144157,49.23324482,49.7668545,26.65028357,24.89182989,22.06806426,-24.13583066,-19.31337731,-24.13577855,-23.11653651,24.95035366
49.23743941,43.57486754,49.24908429,48.9365485,25.6064633,24.64492856,23.14586042,-24.53098905,-20.42900712,-24.53096321,-23.33008364,24.63260113
49.24012237,49.40029075,49.28291477,45.71689364,22.78948899,23.83330299,22.91290287,-25.40666473,-26.45542028,-23.62975875,-22.89611442,25.52445805
46.23569053,49.27502569,49.39616821,49.32729266,25.6289989,21.77593049,23.84512718,-24.42533443,-25.42989851,-24.42531081,-23.59691372,24.93683663
49.67341636,49.32469946,47.14436024,49.33386011,23.79126673,25.50759598,24.33274423,-24.16286904,-24.99195523,-24.16286601,-25.47774901,22.97899126
49.12258905,49.3293309,42.55290047,49.34855156,21.31137638,23.85239899,24.56710409,-25.16218038,-24.76222681,-25.16216975,-27.59970076,17.29602239
,,,,,,,,,,,
"plot([x10,x11],[y10,y11],""-red"",[x10,x00],[y10,y00],""-blue"", [x01,x00],[y01,y00],""-cyan"",[x01,x11],[y01,y11],""-blue"")",,,,,,,,,,,